project_id,name,path,classification,hw_score
68852132,Multi-channel Time Interval Counter and fine delay generator,ohwr/project/r19-tdc-del-a,hardware,0
68852106,openMMC,ohwr/project/afc-ipmi-sw,hardware,0
68852070,soft-cpu toolchains,ohwr/project/soft-cpu-toolchains,not_hardware,0
68852013,spec-stress-test,ohwr/project/spec-stress-test,hardware,0
68851991,White Rabbit Calibration,ohwr/project/wr-calibration,hardware,0
68851956,SFP,ohwr/project/sfp,empty_respository,0
68851940,sfp-plus-i2c,ohwr/project/sfp-plus-i2c,hardware,0
68851907,White Rabbit low jitter,ohwr/project/wr-low-jitter,not hardware,5
68851852,FMC DIO 32ch lvds a,ohwr/project/fmc-dio-32chlvdsa,hardware,0
68851822,WRAP,ohwr/project/wrap,not hardware,10
68851805,tr-amc,ohwr/project/tr-amc,hardware,0
68851795,PandABox,ohwr/project/pandabox,hardware,59
68851714,PandABox-hw,ohwr/project/pandabox-hw,hardware,0
68851665,PandABox-sw,ohwr/project/pandabox-sw,not_hardware,0
68851615,PandABox-gw,ohwr/project/pandabox-gw,not_hardware,0
68851565,PandABox-tst,ohwr/project/pandabox-tst,not_hardware,0
68851537,eez-psu,ohwr/project/eez-psu,ambiguous,13
68851487,Filter-prototype-board,ohwr/project/fpb,hardware,26
68851442,FMC ADC subsamp 125M 14b 4cha,ohwr/project/fmc-adc-subsamp125m14b4cha,not_hardware,0
68851398,GWSW Development Framework,ohwr/project/gw-sw-dev-framework,not hardware,0
68851374,WRS Low Jitter Daughterboard,ohwr/project/wrs-low-jitter,hardware,95
68851323,libsfp,ohwr/project/libsfp,not_hardware,0
68851273,Conv-diff-se-cable-driver,ohwr/project/conv-diff-se-cable-driver,hardware,0
68851251,Artix Trivial FMC Carrier  ATFC ,ohwr/project/atfc,hardware,0
68851219,FMC VHDCI,ohwr/project/fmc-vhdci,ambiguous,14
68851177,fmc-nanofip,ohwr/project/fmc-nanofip,hardware,0
68851151,PC104,ohwr/project/pc104,empty_respository,0
68851127,EMC2-DP,ohwr/project/emc2-dp,hardware,77
68851090,YAM  Yet Another Micro-controller,ohwr/project/yam,not hardware,1
68851064,FMC Prototype Board - LPC,ohwr/project/fmc-prt-lpc,ambiguous,16
68851027,Conv RS485 OPT RTM,ohwr/project/conv-rs485-opt-rtm,not_hardware,0
68850970,1-to-8 Pulse and Frequency Distribution Amplifier,ohwr/project/pda-8ch-fda-8ch,hardware,0
68850958,VME SBC A25 PCIe to VME bridge,ohwr/project/vme-sbc-a25-pcie-vme-bridge,not_hardware,0
68850928,High Performance MTCA.4 White Rabbit Receiver,ohwr/project/ertm15-llrf-wr,hardware,0
68850896,SPEC7,ohwr/project/spec7,hardware,0
68850804,VHDL Coding Style,ohwr/project/vhdl-style,not_hardware,0
68850796,WRS Fan-less hardware,ohwr/project/wrs-fl-hw,hardware,0
68850700,Mini-WR,ohwr/project/mini-wr,hardware,27
68850653,Radiation Tolerant LED Luminaire,ohwr/project/radtol-led-luminaire,hardware,65
